-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2011 through 01/01/2021 
Location: Latitude  52.4996   Longitude -1.9172 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 103.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS50M
2011,1,1,0,0.0,6.85
2011,1,1,1,0.0,7.11
2011,1,1,2,0.0,7.36
2011,1,1,3,0.0,7.46
2011,1,1,4,0.0,7.61
2011,1,1,5,0.0,7.57
2011,1,1,6,0.0,7.66
2011,1,1,7,0.0,7.31
2011,1,1,8,12.3,7.02
2011,1,1,9,82.76,6.4
2011,1,1,10,86.09,5.51
2011,1,1,11,52.48,4.57
2011,1,1,12,58.85,3.87
2011,1,1,13,68.45,3.66
2011,1,1,14,33.93,4.17
2011,1,1,15,21.33,5.24
2011,1,1,16,0.0,6.24
2011,1,1,17,0.0,6.53
2011,1,1,18,0.0,6.55
2011,1,1,19,0.0,6.47
2011,1,1,20,0.0,6.29
2011,1,1,21,0.0,6.29
2011,1,1,22,0.0,6.07
2011,1,1,23,0.0,5.85
2011,1,2,0,0.0,5.74
2011,1,2,1,0.0,5.84
2011,1,2,2,0.0,5.97
2011,1,2,3,0.0,6.1
2011,1,2,4,0.0,6.25
2011,1,2,5,0.0,6.32
2011,1,2,6,0.0,6.31
2011,1,2,7,0.0,6.27
2011,1,2,8,10.49,6.15
2011,1,2,9,58.92,5.38
2011,1,2,10,123.98,4.07
2011,1,2,11,175.3,3.27
2011,1,2,12,141.26,3.1
2011,1,2,13,115.39,3.22
2011,1,2,14,71.1,3.72
2011,1,2,15,17.38,4.45
2011,1,2,16,0.0,5.02
2011,1,2,17,0.0,5.26
2011,1,2,18,0.0,5.23
2011,1,2,19,0.0,5.05
2011,1,2,20,0.0,4.78
2011,1,2,21,0.0,4.37
2011,1,2,22,0.0,3.87
2011,1,2,23,0.0,3.38
2011,1,3,0,0.0,2.98
2011,1,3,1,0.0,2.74
2011,1,3,2,0.0,2.6
2011,1,3,3,0.0,2.48
2011,1,3,4,0.0,2.29
2011,1,3,5,0.0,2.03
2011,1,3,6,0.0,1.72
2011,1,3,7,0.0,1.4
2011,1,3,8,10.35,1.13
2011,1,3,9,43.03,0.93
2011,1,3,10,62.23,0.77
2011,1,3,11,158.03,0.93
2011,1,3,12,146.14,1.34
2011,1,3,13,116.41,1.4
2011,1,3,14,70.45,1.3
2011,1,3,15,24.12,1.38
2011,1,3,16,0.0,1.67
2011,1,3,17,0.0,2.13
2011,1,3,18,0.0,2.55
2011,1,3,19,0.0,2.82
2011,1,3,20,0.0,3.02
2011,1,3,21,0.0,3.22
2011,1,3,22,0.0,3.48
2011,1,3,23,0.0,3.82
2011,1,4,0,0.0,4.26
2011,1,4,1,0.0,4.75
2011,1,4,2,0.0,5.13
2011,1,4,3,0.0,5.3
2011,1,4,4,0.0,5.51
2011,1,4,5,0.0,5.88
2011,1,4,6,0.0,6.23
2011,1,4,7,0.0,6.45
2011,1,4,8,9.45,6.64
2011,1,4,9,45.62,6.74
2011,1,4,10,94.55,6.73
2011,1,4,11,126.3,6.81
2011,1,4,12,143.02,7.72
2011,1,4,13,117.66,8.14
2011,1,4,14,75.64,8.48
2011,1,4,15,22.66,8.84
2011,1,4,16,0.0,8.71
2011,1,4,17,0.0,9.01
2011,1,4,18,0.0,9.19
2011,1,4,19,0.0,9.47
2011,1,4,20,0.0,10.34
2011,1,4,21,0.0,11.05
2011,1,4,22,0.0,11.64
2011,1,4,23,0.0,11.33
2011,1,5,0,0.0,12.26
2011,1,5,1,0.0,12.25
2011,1,5,2,0.0,12.09
2011,1,5,3,0.0,11.87
2011,1,5,4,0.0,11.67
2011,1,5,5,0.0,11.58
2011,1,5,6,0.0,11.67
2011,1,5,7,0.0,11.18
2011,1,5,8,10.69,10.57
2011,1,5,9,52.69,11.01
2011,1,5,10,71.41,11.96
2011,1,5,11,109.34,11.33
2011,1,5,12,43.79,11.25
2011,1,5,13,63.61,10.9
2011,1,5,14,26.84,9.67
2011,1,5,15,23.68,8.59
2011,1,5,16,0.0,7.84
2011,1,5,17,0.0,7.55
2011,1,5,18,0.0,7.44
2011,1,5,19,0.0,7.4
2011,1,5,20,0.0,7.45
2011,1,5,21,0.0,7.43
2011,1,5,22,0.0,7.37
2011,1,5,23,0.0,7.16
2011,1,6,0,0.0,6.89
2011,1,6,1,0.0,6.62
2011,1,6,2,0.0,6.21
2011,1,6,3,0.0,5.77
2011,1,6,4,0.0,5.13
2011,1,6,5,0.0,4.35
2011,1,6,6,0.0,3.69
2011,1,6,7,0.0,3.13
2011,1,6,8,9.26,2.56
2011,1,6,9,43.74,2.28
2011,1,6,10,79.12,2.07
2011,1,6,11,109.57,2.29
2011,1,6,12,131.4,2.89
2011,1,6,13,128.68,3.62
2011,1,6,14,77.27,4.22
2011,1,6,15,25.18,4.75
2011,1,6,16,0.0,5.37
2011,1,6,17,0.0,6.02
2011,1,6,18,0.0,6.34
2011,1,6,19,0.0,6.18
2011,1,6,20,0.0,5.81
2011,1,6,21,0.0,5.28
2011,1,6,22,0.0,4.74
2011,1,6,23,0.0,4.36
2011,1,7,0,0.0,4.49
2011,1,7,1,0.0,4.95
2011,1,7,2,0.0,5.42
2011,1,7,3,0.0,5.84
2011,1,7,4,0.0,5.85
2011,1,7,5,0.0,5.81
2011,1,7,6,0.0,6.71
2011,1,7,7,0.0,7.37
2011,1,7,8,8.73,7.7
2011,1,7,9,35.34,7.16
2011,1,7,10,48.44,6.68
2011,1,7,11,73.77,6.22
2011,1,7,12,41.33,6.08
2011,1,7,13,71.77,6.24
2011,1,7,14,25.38,7.42
2011,1,7,15,20.07,8.48
2011,1,7,16,0.0,9.47
2011,1,7,17,0.0,10.01
2011,1,7,18,0.0,9.73
2011,1,7,19,0.0,10.75
2011,1,7,20,0.0,10.45
2011,1,7,21,0.0,10.46
2011,1,7,22,0.0,10.86
2011,1,7,23,0.0,10.58
2011,1,8,0,0.0,10.25
2011,1,8,1,0.0,9.43
2011,1,8,2,0.0,9.57
2011,1,8,3,0.0,9.92
2011,1,8,4,0.0,9.73
2011,1,8,5,0.0,9.34
2011,1,8,6,0.0,8.5
2011,1,8,7,0.0,8.57
2011,1,8,8,10.23,10.36
2011,1,8,9,73.71,10.38
2011,1,8,10,77.93,9.71
2011,1,8,11,132.05,9.28
2011,1,8,12,178.54,8.96
2011,1,8,13,198.24,8.54
2011,1,8,14,144.74,8.48
2011,1,8,15,48.23,8.69
2011,1,8,16,0.0,9.18
2011,1,8,17,0.0,9.48
2011,1,8,18,0.0,9.7
2011,1,8,19,0.0,9.84
2011,1,8,20,0.0,9.88
2011,1,8,21,0.0,10.04
2011,1,8,22,0.0,10.18
2011,1,8,23,0.0,9.88
2011,1,9,0,0.0,9.7
2011,1,9,1,0.0,9.31
2011,1,9,2,0.0,9.11
