-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2011 through 01/01/2021 
Location: Latitude  54.5976   Longitude -5.9382 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 81.47 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS50M
2011,1,1,0,0.0,7.16
2011,1,1,1,0.0,7.41
2011,1,1,2,0.0,7.36
2011,1,1,3,0.0,7.62
2011,1,1,4,0.0,7.55
2011,1,1,5,0.0,7.78
2011,1,1,6,0.0,7.59
2011,1,1,7,0.0,7.55
2011,1,1,8,0.0,7.51
2011,1,1,9,29.02,7.53
2011,1,1,10,40.3,7.04
2011,1,1,11,63.97,6.74
2011,1,1,12,73.95,6.5
2011,1,1,13,57.47,6.28
2011,1,1,14,28.51,6.31
2011,1,1,15,16.17,6.46
2011,1,1,16,0.0,6.61
2011,1,1,17,0.0,6.68
2011,1,1,18,0.0,6.65
2011,1,1,19,0.0,6.53
2011,1,1,20,0.0,6.39
2011,1,1,21,0.0,6.13
2011,1,1,22,0.0,5.88
2011,1,1,23,0.0,5.65
2011,1,2,0,0.0,5.35
2011,1,2,1,0.0,5.04
2011,1,2,2,0.0,4.72
2011,1,2,3,0.0,4.44
2011,1,2,4,0.0,4.28
2011,1,2,5,0.0,4.25
2011,1,2,6,0.0,4.32
2011,1,2,7,0.0,4.38
2011,1,2,8,0.0,4.32
2011,1,2,9,27.2,4.06
2011,1,2,10,55.11,3.61
2011,1,2,11,82.77,3.02
2011,1,2,12,85.73,2.57
2011,1,2,13,51.73,2.36
2011,1,2,14,32.18,2.49
2011,1,2,15,15.9,2.77
2011,1,2,16,0.0,3.0
2011,1,2,17,0.0,3.11
2011,1,2,18,0.0,3.07
2011,1,2,19,0.0,2.81
2011,1,2,20,0.0,2.38
2011,1,2,21,0.0,2.0
2011,1,2,22,0.0,1.81
2011,1,2,23,0.0,1.89
2011,1,3,0,0.0,2.1
2011,1,3,1,0.0,2.35
2011,1,3,2,0.0,2.62
2011,1,3,3,0.0,2.88
2011,1,3,4,0.0,3.11
2011,1,3,5,0.0,3.33
2011,1,3,6,0.0,3.5
2011,1,3,7,0.0,3.72
2011,1,3,8,0.0,3.98
2011,1,3,9,28.86,4.23
