-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2011 through 01/01/2021 
Location: Latitude  51.4678   Longitude -3.1917 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 95.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS50M
2011,1,1,0,0.0,2.79
2011,1,1,1,0.0,3.67
2011,1,1,2,0.0,4.42
2011,1,1,3,0.0,4.91
2011,1,1,4,0.0,5.2
2011,1,1,5,0.0,5.25
2011,1,1,6,0.0,5.3
2011,1,1,7,0.0,5.44
2011,1,1,8,10.25,5.66
2011,1,1,9,87.88,5.83
2011,1,1,10,64.81,5.64
2011,1,1,11,99.02,5.15
2011,1,1,12,99.52,4.96
2011,1,1,13,87.23,4.94
2011,1,1,14,63.38,5.16
2011,1,1,15,50.71,5.57
2011,1,1,16,0.0,5.42
2011,1,1,17,0.0,4.94
2011,1,1,18,0.0,4.19
2011,1,1,19,0.0,3.95
2011,1,1,20,0.0,4.61
2011,1,1,21,0.0,5.7
2011,1,1,22,0.0,6.6
2011,1,1,23,0.0,6.89
2011,1,2,0,0.0,6.86
2011,1,2,1,0.0,6.67
2011,1,2,2,0.0,6.62
2011,1,2,3,0.0,6.29
2011,1,2,4,0.0,6.0
2011,1,2,5,0.0,6.02
2011,1,2,6,0.0,6.18
2011,1,2,7,0.0,6.41
2011,1,2,8,8.03,6.44
2011,1,2,9,42.85,5.77
2011,1,2,10,95.2,4.56
2011,1,2,11,125.84,3.78
2011,1,2,12,140.37,3.76
2011,1,2,13,119.09,3.61
2011,1,2,14,82.66,3.42
2011,1,2,15,27.93,3.69
2011,1,2,16,0.0,4.13
2011,1,2,17,0.0,4.52
2011,1,2,18,0.0,4.83
2011,1,2,19,0.0,4.99
2011,1,2,20,0.0,4.98
2011,1,2,21,0.0,4.87
2011,1,2,22,0.0,4.68
2011,1,2,23,0.0,4.44
2011,1,3,0,0.0,4.2
2011,1,3,1,0.0,4.05
2011,1,3,2,0.0,4.0
2011,1,3,3,0.0,4.13
2011,1,3,4,0.0,4.34
2011,1,3,5,0.0,4.55
2011,1,3,6,0.0,4.84
2011,1,3,7,0.0,5.11
2011,1,3,8,8.07,5.34
2011,1,3,9,33.56,5.3
2011,1,3,10,72.79,5.04
2011,1,3,11,83.1,4.87
2011,1,3,12,83.59,4.92
2011,1,3,13,60.95,5.05
2011,1,3,14,42.61,5.3
2011,1,3,15,23.96,5.57
2011,1,3,16,0.0,5.79
2011,1,3,17,0.0,5.57
2011,1,3,18,0.0,5.07
2011,1,3,19,0.0,4.37
2011,1,3,20,0.0,3.57
2011,1,3,21,0.0,2.88
2011,1,3,22,0.0,2.74
2011,1,3,23,0.0,3.1
2011,1,4,0,0.0,3.62
2011,1,4,1,0.0,4.02
2011,1,4,2,0.0,4.01
2011,1,4,3,0.0,3.9
2011,1,4,4,0.0,3.58
2011,1,4,5,0.0,3.39
2011,1,4,6,0.0,3.77
2011,1,4,7,0.0,4.84
2011,1,4,8,8.63,6.11
2011,1,4,9,49.73,7.19
2011,1,4,10,95.95,7.31
2011,1,4,11,112.2,7.19
2011,1,4,12,119.82,8.03
2011,1,4,13,88.18,8.54
2011,1,4,14,52.73,9.07
2011,1,4,15,28.05,9.49
2011,1,4,16,0.0,9.67
2011,1,4,17,0.0,9.62
2011,1,4,18,0.0,9.98
2011,1,4,19,0.0,10.36
2011,1,4,20,0.0,10.44
2011,1,4,21,0.0,10.29
2011,1,4,22,0.0,10.65
2011,1,4,23,0.0,10.74
2011,1,5,0,0.0,11.44
2011,1,5,1,0.0,11.75
2011,1,5,2,0.0,11.93
2011,1,5,3,0.0,12.09
2011,1,5,4,0.0,11.5
2011,1,5,5,0.0,11.43
2011,1,5,6,0.0,11.65
2011,1,5,7,0.0,11.36
2011,1,5,8,8.84,11.23
2011,1,5,9,35.23,11.05
2011,1,5,10,63.96,10.7
2011,1,5,11,102.71,9.88
2011,1,5,12,82.98,8.86
2011,1,5,13,106.8,7.82
2011,1,5,14,77.27,6.24
2011,1,5,15,28.01,5.69
2011,1,5,16,0.0,6.08
2011,1,5,17,0.0,6.3
2011,1,5,18,0.0,6.25
2011,1,5,19,0.0,6.05
2011,1,5,20,0.0,5.65
2011,1,5,21,0.0,5.05
2011,1,5,22,0.0,4.43
2011,1,5,23,0.0,3.82
2011,1,6,0,0.0,3.18
2011,1,6,1,0.0,2.41
2011,1,6,2,0.0,1.62
2011,1,6,3,0.0,1.01
2011,1,6,4,0.0,1.04
2011,1,6,5,0.0,1.68
2011,1,6,6,0.0,2.66
2011,1,6,7,0.0,3.88
2011,1,6,8,7.73,4.85
2011,1,6,9,34.71,5.35
2011,1,6,10,50.19,5.41
2011,1,6,11,89.24,5.08
2011,1,6,12,92.5,4.86
2011,1,6,13,106.54,4.63
2011,1,6,14,84.75,4.21
2011,1,6,15,36.66,3.62
2011,1,6,16,0.0,3.06
2011,1,6,17,0.0,2.98
2011,1,6,18,0.0,3.32
2011,1,6,19,0.0,3.88
2011,1,6,20,0.0,4.36
2011,1,6,21,0.0,4.72
2011,1,6,22,0.0,5.41
2011,1,6,23,0.0,6.0
2011,1,7,0,0.0,6.44
2011,1,7,1,0.0,6.9
2011,1,7,2,0.0,7.17
2011,1,7,3,0.0,7.49
2011,1,7,4,0.0,8.59
2011,1,7,5,0.0,8.54
2011,1,7,6,0.0,7.74
2011,1,7,7,0.0,7.04
2011,1,7,8,8.86,6.47
2011,1,7,9,33.66,6.61
2011,1,7,10,71.23,7.22
2011,1,7,11,87.22,8.18
2011,1,7,12,87.97,8.85
2011,1,7,13,28.77,8.37
2011,1,7,14,44.36,8.77
2011,1,7,15,24.42,9.54
2011,1,7,16,0.0,9.75
2011,1,7,17,0.0,9.71
2011,1,7,18,0.0,9.96
2011,1,7,19,0.0,10.4
2011,1,7,20,0.0,10.86
2011,1,7,21,0.0,10.56
2011,1,7,22,0.0,10.1
2011,1,7,23,0.0,10.27
2011,1,8,0,0.0,11.8
2011,1,8,1,0.0,12.01
2011,1,8,2,0.0,11.25
2011,1,8,3,0.0,9.55
2011,1,8,4,0.0,8.12
2011,1,8,5,0.0,7.69
2011,1,8,6,0.0,9.0
2011,1,8,7,0.0,9.9
2011,1,8,8,8.3,10.36
2011,1,8,9,68.11,9.88
2011,1,8,10,85.95,9.05
2011,1,8,11,191.12,9.03
2011,1,8,12,237.77,8.96
2011,1,8,13,196.49,8.61
2011,1,8,14,138.52,7.99
2011,1,8,15,61.14,7.8
2011,1,8,16,0.0,8.53
2011,1,8,17,0.0,9.11
2011,1,8,18,0.0,9.91
2011,1,8,19,0.0,10.2
2011,1,8,20,0.0,10.11
2011,1,8,21,0.0,10.45
2011,1,8,22,0.0,11.49
2011,1,8,23,0.0,11.39
2011,1,9,0,0.0,10.59
2011,1,9,1,0.0,9.74
2011,1,9,2,0.0,8.78
2011,1,9,3,0.0,8.24
2011,1,9,4,0.0,8.21
2011,1,9,5,0.0,8.36
2011,1,9,6,0.0,8.46
2011,1,9,7,0.0,8.58
2011,1,9,8,14.7,8.45
2011,1,9,9,102.36,7.75
2011,1,9,10,201.41,6.75
2011,1,9,11,258.94,6.3
2011,1,9,12,268.1,6.94
2011,1,9,13,239.48,6.49
2011,1,9,14,167.7,6.09
2011,1,9,15,77.64,5.97
2011,1,9,16,0.0,5.84
2011,1,9,17,0.0,5.71
2011,1,9,18,0.0,5.7
2011,1,9,19,0.0,6.0
2011,1,9,20,0.0,6.49
2011,1,9,21,0.0,6.77
2011,1,9,22,0.0,6.94
2011,1,9,23,0.0,7.25
2011,1,10,0,0.0,7.69
2011,1,10,1,0.0,8.17
2011,1,10,2,0.0,8.5
2011,1,10,3,0.0,8.9
2011,1,10,4,0.0,9.38
2011,1,10,5,0.0,9.67
2011,1,10,6,0.0,11.16
2011,1,10,7,0.0,12.02
2011,1,10,8,8.86,12.35
2011,1,10,9,34.98,13.35
2011,1,10,10,68.63,13.12
2011,1,10,11,92.12,13.32
2011,1,10,12,127.3,13.77
2011,1,10,13,80.88,14.04
2011,1,10,14,20.41,14.25
2011,1,10,15,32.96,14.56
2011,1,10,16,0.0,15.0
2011,1,10,17,0.0,14.73
2011,1,10,18,0.0,14.4
2011,1,10,19,0.0,14.15
2011,1,10,20,0.0,12.51
2011,1,10,21,0.0,11.58
2011,1,10,22,0.0,10.41
2011,1,10,23,0.0,9.23
2011,1,11,0,0.0,9.28
2011,1,11,1,0.0,8.75
2011,1,11,2,0.0,8.49
2011,1,11,3,0.0,8.74
2011,1,11,4,0.0,8.62
2011,1,11,5,0.0,9.0
2011,1,11,6,0.0,10.39
2011,1,11,7,0.0,11.84
2011,1,11,8,10.24,12.39
2011,1,11,9,72.18,12.18
2011,1,11,10,113.32,11.87
2011,1,11,11,169.72,11.14
2011,1,11,12,203.49,9.85
2011,1,11,13,185.14,9.09
2011,1,11,14,146.91,8.04
2011,1,11,15,74.84,7.38
2011,1,11,16,0.0,6.73
2011,1,11,17,0.0,4.93
2011,1,11,18,0.0,3.12
2011,1,11,19,0.0,3.23
2011,1,11,20,0.0,4.65
2011,1,11,21,0.0,6.13
2011,1,11,22,0.0,7.4
2011,1,11,23,0.0,8.38
2011,1,12,0,0.0,8.92
2011,1,12,1,0.0,9.75
2011,1,12,2,0.0,11.43
2011,1,12,3,0.0,12.31
2011,1,12,4,0.0,11.82
2011,1,12,5,0.0,11.16
2011,1,12,6,0.0,10.95
2011,1,12,7,0.0,11.54
2011,1,12,8,9.62,11.37
2011,1,12,9,40.4,11.38
2011,1,12,10,33.19,10.52
2011,1,12,11,42.3,9.93
2011,1,12,12,30.78,9.65
2011,1,12,13,37.99,9.69
2011,1,12,14,37.45,9.7
2011,1,12,15,27.33,10.49
2011,1,12,16,0.0,9.86
2011,1,12,17,0.0,11.2
2011,1,12,18,0.0,10.86
2011,1,12,19,0.0,9.84
2011,1,12,20,0.0,10.34
2011,1,12,21,0.0,12.43
