-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2011 through 01/01/2021 
Location: Latitude  54.6199   Longitude -7.1907 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 126.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS50M
2011,1,1,0,0.0,5.96
2011,1,1,1,0.0,6.42
2011,1,1,2,0.0,6.7
2011,1,1,3,0.0,6.98
2011,1,1,4,0.0,7.19
2011,1,1,5,0.0,7.39
2011,1,1,6,0.0,7.39
2011,1,1,7,0.0,7.25
2011,1,1,8,0.0,6.87
2011,1,1,9,33.59,6.59
2011,1,1,10,97.51,6.14
2011,1,1,11,128.66,5.79
2011,1,1,12,133.57,5.65
2011,1,1,13,110.87,5.4
2011,1,1,14,75.6,5.32
2011,1,1,15,39.2,5.7
2011,1,1,16,0.0,6.24
2011,1,1,17,0.0,6.52
2011,1,1,18,0.0,6.55
2011,1,1,19,0.0,6.46
2011,1,1,20,0.0,6.3
2011,1,1,21,0.0,6.03
2011,1,1,22,0.0,5.71
2011,1,1,23,0.0,5.35
2011,1,2,0,0.0,4.93
2011,1,2,1,0.0,4.53
2011,1,2,2,0.0,4.1
2011,1,2,3,0.0,3.72
2011,1,2,4,0.0,3.56
2011,1,2,5,0.0,3.59
2011,1,2,6,0.0,3.73
2011,1,2,7,0.0,3.87
2011,1,2,8,0.0,3.87
2011,1,2,9,33.6,3.61
2011,1,2,10,44.48,3.17
2011,1,2,11,62.66,2.62
2011,1,2,12,92.51,2.39
2011,1,2,13,52.84,2.04
2011,1,2,14,36.98,1.73
2011,1,2,15,23.44,1.56
2011,1,2,16,0.0,1.44
2011,1,2,17,0.0,1.34
2011,1,2,18,0.0,1.2
2011,1,2,19,0.0,0.9
2011,1,2,20,0.0,0.55
2011,1,2,21,0.0,0.72
2011,1,2,22,0.0,1.16
2011,1,2,23,0.0,1.57
2011,1,3,0,0.0,1.9
2011,1,3,1,0.0,2.2
2011,1,3,2,0.0,2.49
2011,1,3,3,0.0,2.79
2011,1,3,4,0.0,3.13
2011,1,3,5,0.0,3.46
2011,1,3,6,0.0,3.8
2011,1,3,7,0.0,4.11
2011,1,3,8,0.0,4.42
2011,1,3,9,31.13,4.74
2011,1,3,10,89.73,5.06
2011,1,3,11,142.27,5.26
2011,1,3,12,162.24,5.52
2011,1,3,13,134.23,5.91
2011,1,3,14,86.05,6.37
2011,1,3,15,30.96,7.02
2011,1,3,16,0.0,7.58
2011,1,3,17,0.0,7.78
2011,1,3,18,0.0,7.91
2011,1,3,19,0.0,8.22
2011,1,3,20,0.0,8.58
2011,1,3,21,0.0,8.95
2011,1,3,22,0.0,9.22
2011,1,3,23,0.0,9.22
2011,1,4,0,0.0,9.35
2011,1,4,1,0.0,9.29
2011,1,4,2,0.0,9.85
2011,1,4,3,0.0,10.08
2011,1,4,4,0.0,9.82
2011,1,4,5,0.0,9.87
2011,1,4,6,0.0,9.87
2011,1,4,7,0.0,10.36
2011,1,4,8,0.0,10.69
2011,1,4,9,20.97,10.73
2011,1,4,10,42.31,10.74
2011,1,4,11,64.5,10.61
2011,1,4,12,77.2,11.11
2011,1,4,13,91.38,11.6
2011,1,4,14,50.04,11.05
2011,1,4,15,21.12,10.73
2011,1,4,16,0.0,10.21
2011,1,4,17,0.0,9.43
2011,1,4,18,0.0,8.71
2011,1,4,19,0.0,8.87
2011,1,4,20,0.0,8.82
2011,1,4,21,0.0,8.71
2011,1,4,22,0.0,8.43
2011,1,4,23,0.0,8.9
2011,1,5,0,0.0,8.62
2011,1,5,1,0.0,8.65
2011,1,5,2,0.0,8.62
2011,1,5,3,0.0,8.66
2011,1,5,4,0.0,8.92
2011,1,5,5,0.0,9.26
2011,1,5,6,0.0,9.84
2011,1,5,7,0.0,10.14
2011,1,5,8,0.0,10.25
2011,1,5,9,27.73,10.52
2011,1,5,10,80.34,9.53
2011,1,5,11,127.74,9.04
2011,1,5,12,133.78,9.25
2011,1,5,13,133.94,9.82
2011,1,5,14,83.72,10.1
2011,1,5,15,49.02,9.91
2011,1,5,16,0.0,9.7
2011,1,5,17,0.0,8.69
2011,1,5,18,0.0,7.97
2011,1,5,19,0.0,7.31
2011,1,5,20,0.0,6.94
2011,1,5,21,0.0,6.81
2011,1,5,22,0.0,6.88
2011,1,5,23,0.0,6.96
2011,1,6,0,0.0,7.09
2011,1,6,1,0.0,7.34
2011,1,6,2,0.0,7.83
2011,1,6,3,0.0,7.97
2011,1,6,4,0.0,8.31
2011,1,6,5,0.0,8.65
2011,1,6,6,0.0,8.89
2011,1,6,7,0.0,8.84
2011,1,6,8,0.0,8.88
2011,1,6,9,37.73,8.97
2011,1,6,10,100.96,8.51
2011,1,6,11,167.12,8.41
2011,1,6,12,203.67,7.84
2011,1,6,13,184.77,7.98
2011,1,6,14,131.63,8.26
2011,1,6,15,59.59,7.81
2011,1,6,16,0.0,7.15
2011,1,6,17,0.0,6.59
2011,1,6,18,0.0,5.8
2011,1,6,19,0.0,4.84
2011,1,6,20,0.0,3.82
2011,1,6,21,0.0,2.93
2011,1,6,22,0.0,2.32
2011,1,6,23,0.0,1.85
2011,1,7,0,0.0,1.57
2011,1,7,1,0.0,1.58
2011,1,7,2,0.0,1.88
2011,1,7,3,0.0,2.51
2011,1,7,4,0.0,3.17
2011,1,7,5,0.0,3.76
2011,1,7,6,0.0,4.33
2011,1,7,7,0.0,4.78
